ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,WarningsEng
72,Phleum phleoides,1,881795,Phleum phleoides,1,species,,,NA,(L.) H.Karst.,Poaceae,Phleum,Phleum,1,phleoides,phleoides,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415866-1,,Y,Accepted,Phleum phleoides,Phleum phleoides,(L.) H.Karst.,881795,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415866-1,,Poaceae,1,1,wcvp,0,
73,Phleum pratense,1,881801,Phleum pratense,1,species,,,NA,L.,Poaceae,Phleum,Phleum,1,pratense,pratense,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415868-1,,Y,Accepted,Phleum pratense,Phleum pratense,L.,881801,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415868-1,,Poaceae,1,1,wcvp,0,
74,Pilosella officinarum,1,68007,Pilosella officinarum,1,species,,,NA,Vaill.,Asteraceae,Pilosella,Pilosella,1,officinarum,officinarum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77133566-1,,Y,Accepted,Pilosella officinarum,Pilosella officinarum,Vaill.,68007,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77133566-1,,Asteraceae,1,1,wcvp,0,
75,Pimpinella saxifraga,1,385605,Pimpinella saxifraga,1,species,,,NA,L.,Apiaceae,Pimpinella,Pimpinella,1,saxifraga,saxifraga,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:847025-1,,Y,Accepted,Pimpinella saxifraga,Pimpinella saxifraga,L.,385605,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:847025-1,,Apiaceae,1,1,wcvp,0,
76,Plantago lanceolata,1,480414,Plantago lanceolata,1,species,,,NA,L.,Plantaginaceae,Plantago,Plantago,1,lanceolata,lanceolata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:321285-2,,Y,Accepted,Plantago lanceolata,Plantago lanceolata,L.,480414,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:321285-2,,Plantaginaceae,1,1,wcvp,0,
77,Plantago media,1,480384,Plantago media,1,species,,,NA,L.,Plantaginaceae,Plantago,Plantago,1,media,media,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:685411-1,,Y,Accepted,Plantago media,Plantago media,L.,480384,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:685411-1,,Plantaginaceae,1,1,wcvp,0,
78,Poa pratensis aggr.,0.9,885096,Poa pratensis,1,species,,,NA,L.,Poaceae,Poa,Poa,1,pratensis,pratensis,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:417792-1,,Y,Accepted,Poa pratensis,Poa pratensis,L.,885096,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:417792-1,,Poaceae,1,1,wcvp,0,
79,Poa trivialis,1,885834,Poa trivialis,1,species,,,NA,L.,Poaceae,Poa,Poa,1,trivialis,trivialis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320346-2,,Y,Accepted,Poa trivialis,Poa trivialis,L.,885834,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320346-2,,Poaceae,1,1,wcvp,0,
80,Polygala comosa,1,478100,Polygala comosa,1,species,,,NA,Schkuhr,Polygalaceae,Polygala,Polygala,1,comosa,comosa,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:691270-1,,Y,Accepted,Polygala comosa,Polygala comosa,Schkuhr,478100,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:691270-1,,Polygalaceae,1,1,wcvp,0,
81,Potentilla tabernaemontani,1,980870,Potentilla tabernaemontani,1,species,,,NA,Asch.,Rosaceae,Potentilla,Potentilla,1,tabernaemontani,tabernaemontani,1,,,NA,,,NA,,,NA,,,https://www.worldfloraonline.org/taxon/wfo-0000989795,,Y,Accepted,Potentilla tabernaemontani,Potentilla tabernaemontani,Asch.,980870,species,https://www.worldfloraonline.org/taxon/wfo-0000989795,,Rosaceae,1,1,wfo,0,
